Time (s),SEF,HTR,BW0,BW1,MET,MAP,PAR,GAR,GF1,GF2,EXT,Pres (hPa),dP (hPa/line),Temp (C),Batt (V),Cap (V),GPS Flag (HEX),GPS SV,Lon,Lat,Alt (m),Date,Time,gSpeed (m/s),aRate (m/s),aFilt (m/s),heading (deg)
146,,,,,,,,,,,,1004.99,-0.97,28.5,3.31,3.35,1,4,-77.75668,39.32365,112.58,20220731,12:41:01,0.03,-0.04,-0.02,0,
148,,,,,,,,,,,,1005.26,-0.93,28.5,3.31,3.35,1,4,-77.75667,39.32364,114.94,20220731,12:41:03,0.30,0.35,0.01,0,
149,,,,,,,,,,,,1005.18,-0.91,28.5,3.31,3.35,1,4,-77.75668,39.32364,113.88,20220731,12:41:04,1.11,0.20,0.01,0,
150,,,,,,,,,,,,1005.19,-0.88,28.5,3.31,3.35,1,5,-77.75668,39.32364,115.65,20220731,12:41:05,0.08,-0.06,0.01,0,
151,,,,,,,,,,,,1005.12,-0.86,28.5,3.31,3.34,1,5,-77.75668,39.32365,115.63,20220731,12:41:06,0.12,-0.10,0.01,0,
152,,,,,,,,,,,,1005.19,-0.83,28.5,3.31,3.34,1,5,-77.75669,39.32365,117.72,20220731,12:41:07,0.12,0.13,0.01,0,
153,,,,,,,,,,,,1005.22,-0.80,28.6,3.31,3.34,1,5,-77.75669,39.32366,115.93,20220731,12:41:08,0.09,0.35,0.02,0,
154,,,,,,,,,,,,1005.21,-0.78,28.6,3.31,3.34,1,5,-77.75669,39.32365,115.88,20220731,12:41:09,0.13,0.35,0.03,0,
155,,,,,,,,,,,,1005.21,-0.75,28.6,3.31,3.34,1,5,-77.75669,39.32366,115.66,20220731,12:41:10,0.04,0.12,0.03,0,
156,,,,,,,,,,,,1005.19,-0.73,28.6,3.31,3.34,1,5,-77.75670,39.32366,116.18,20220731,12:41:11,0.06,0.04,0.03,0,
157,,,,,,,,,,,,1005.19,-0.71,28.6,3.31,3.34,1,5,-77.75670,39.32366,115.92,20220731,12:41:12,0.09,-0.04,0.03,0,
158,,,,,,,,,,,,1005.20,-0.69,28.6,3.31,3.34,1,5,-77.75670,39.32366,115.87,20220731,12:41:13,0.07,-0.01,0.03,0,
159,,,,,,,,,,,,1005.13,-0.67,28.6,3.31,3.34,1,5,-77.75671,39.32366,115.53,20220731,12:41:14,0.03,-0.02,0.03,0,
160,,,,,,,,,,,,1005.19,-0.65,28.6,3.31,3.34,1,5,-77.75671,39.32366,115.28,20220731,12:41:15,0.07,0.00,0.03,0,
161,,,,,,,,,,,,1005.21,-0.63,28.6,3.32,3.35,1,5,-77.75671,39.32366,115.38,20220731,12:41:16,0.10,0.06,0.03,0,
162,,,,,,,,,,,,1005.23,-0.61,28.6,3.32,3.35,1,5,-77.75671,39.32366,115.52,20220731,12:41:17,0.15,0.31,0.04,0,
163,,,,,,,,,,,,1005.20,-0.59,28.6,3.32,3.35,1,5,-77.75671,39.32366,115.84,20220731,12:41:18,0.12,0.46,0.05,0,
164,,,,,,,,,,,,1005.24,-0.57,28.6,3.32,3.35,1,5,-77.75671,39.32366,116.16,20220731,12:41:19,0.34,0.46,0.06,0,
165,,,,,,,,,,,,1005.24,-0.56,28.6,3.32,3.35,1,5,-77.75671,39.32366,116.22,20220731,12:41:20,0.05,-0.03,0.06,0,
166,,,,,,,,,,,,1005.23,-0.54,28.6,3.32,3.35,1,5,-77.75671,39.32366,116.32,20220731,12:41:21,0.10,-0.21,0.05,0,
167,,,,,,,,,,,,1005.20,-0.52,28.6,3.32,3.35,1,5,-77.75670,39.32365,117.47,20220731,12:41:22,0.05,-0.21,0.04,0,
168,,,,,,,,,,,,1005.19,-0.51,28.6,3.32,3.35,1,5,-77.75669,39.32364,118.72,20220731,12:41:23,0.07,-0.17,0.04,0,
169,,,,,,,,,,,,1005.23,-0.49,28.6,3.32,3.35,1,5,-77.75669,39.32364,119.09,20220731,12:41:24,0.09,-0.14,0.03,0,
170,,,,,,,,,,,,1005.18,-0.48,28.6,3.32,3.35,1,5,-77.75669,39.32364,119.13,20220731,12:41:25,0.03,-0.05,0.03,0,
171,,,,,,,,,,,,1005.15,-0.47,28.6,3.31,3.34,1,5,-77.75669,39.32364,119.60,20220731,12:41:26,0.01,-0.06,0.03,0,
172,,,,,,,,,,,,1005.19,-0.45,28.6,3.31,3.34,1,5,-77.75669,39.32364,119.52,20220731,12:41:27,0.08,0.14,0.03,0,
173,,,,,,,,,,,,1005.23,-0.44,28.6,3.31,3.34,1,5,-77.75669,39.32364,120.18,20220731,12:41:28,0.07,0.23,0.04,0,
174,,,,,,,,,,,,1005.20,-0.42,28.7,3.31,3.34,1,5,-77.75668,39.32363,120.83,20220731,12:41:29,0.02,0.09,0.04,0,
175,,,,,,,,,,,,1005.21,-0.41,28.7,3.31,3.34,1,5,-77.75668,39.32363,120.60,20220731,12:41:30,0.06,0.03,0.04,0,
