,Time,Tension,Temperature,Pressure,Altitude
0,0.0,0.0,5.53,99981.53,145.6
1,2.0,0.01,5.57,99988.75,144.99
2,3.0,0.0,5.58,99986.21,145.21
3,4.0,-0.01,5.59,99988.67,145.0
4,5.0,-0.01,5.6,99989.64,144.92
5,6.0,-0.01,5.6,99989.4,144.94
6,7.0,-0.01,5.61,99989.42,144.94
7,8.0,-0.01,5.62,99989.98,144.89
8,9.0,-0.01,5.62,99993.02,144.63
9,10.0,-0.01,5.62,99989.34,144.94
10,11.0,-0.01,5.62,99990.22,144.87
11,12.0,-0.01,5.63,99990.14,144.88
12,13.0,-0.01,5.63,99988.19,145.04
13,14.0,-0.01,5.64,99986.53,145.18
14,15.0,-0.01,5.64,99989.57,144.92
15,16.0,-0.01,5.64,99990.97,144.81
16,18.0,-0.01,5.65,99991.47,144.76
17,19.0,-0.01,5.65,99982.83,145.49
18,20.0,-0.01,5.65,99987.19,145.12
19,21.0,-0.01,5.66,99990.64,144.83
20,22.0,-0.01,5.65,99991.06,144.8
21,23.0,-0.01,5.66,99993.77,144.57
22,24.0,-0.01,5.66,99989.26,144.95
23,25.0,-0.01,5.66,99985.96,145.23
24,26.0,0.13,5.66,99991.61,144.75
25,27.0,0.34,5.67,99987.61,145.09
26,28.0,0.14,5.67,99991.86,144.73
27,29.0,0.11,5.67,99988.09,145.05
28,30.0,0.03,5.67,99992.19,144.7
29,31.0,1.51,5.68,99992.28,144.7
30,32.0,4.59,5.68,99990.64,144.83
31,34.0,0.2,5.68,99986.63,145.17
32,35.0,0.09,5.68,99986.71,145.16
33,36.0,0.09,5.68,99989.17,145.18
34,37.0,0.25,5.68,99983.19,145.46
35,38.0,3.59,5.69,99985.38,145.28
36,39.0,2.38,5.69,99986.88,145.15
37,40.0,1.94,5.69,99990.98,144.8
38,41.0,1.23,5.69,99989.75,144.91
39,42.0,0.06,5.69,99984.5,145.31
40,43.0,0.03,5.7,99986.89,145.15
41,44.0,0.04,5.7,99985.64,145.25
42,45.0,0.03,5.7,99985.81,145.24
43,46.0,0.03,5.71,99989.44,144.94
44,47.0,0.03,5.71,99988.92,144.98
45,48.0,0.03,5.71,99990.32,144.83
46,50.0,0.03,5.72,99993.61,144.59
47,51.0,0.03,5.71,99989.82,144.9
48,52.0,0.03,5.72,99990.58,144.84
49,53.0,0.03,5.72,99990.83,144.82
50,54.0,0.04,5.72,99989.75,144.91
51,55.0,0.03,5.72,99988.77,144.99
52,56.0,0.03,5.72,99990.39,144.85
53,57.0,0.04,5.73,99986.55,145.18
54,58.0,0.04,5.72,99989.57,144.92
55,59.0,0.04,5.73,99988.78,144.99
56,60.0,0.04,5.73,99993.28,144.61
57,61.0,0.04,5.73,99992.14,144.71
58,62.0,0.04,5.73,99990.74,144.83
59,63.0,0.04,5.74,99997.21,144.28
60,64.0,0.04,5.74,99987.52,145.1
61,66.0,0.04,5.74,99987.94,145.06
62,67.0,0.04,5.74,99989.82,144.9
63,68.0,0.04,5.74,99985.57,145.26
64,69.0,0.04,5.74,99986.97,145.14
65,70.0,0.04,5.75,99986.46,145.19
66,71.0,0.04,5.75,99990.39,144.85
67,72.0,0.04,5.75,99988.92,144.98
68,73.0,0.04,5.75,99987.6,145.09
69,74.0,0.04,5.76,99986.89,145.15
70,75.0,0.04,5.76,99989.35,144.94
71,76.0,0.04,5.76,99992.63,144.67
72,77.0,0.04,5.76,99990.75,144.83
73,78.0,0.04,5.76,99989.85,144.9
74,79.0,0.04,5.76,99988.44,145.02
75,80.0,0.03,5.76,99990.64,144.83
76,81.0,0.04,5.76,99988.67,145.0
77,83.0,0.04,5.77,99982.78,145.49
78,84.0,0.04,5.77,99990.75,144.83
79,85.0,0.04,5.77,99991.63,144.75
80,86.0,0.04,5.77,99986.79,145.16
81,87.0,0.04,5.77,99988.92,144.98
82,88.0,0.04,5.77,99989.91,144.89
83,89.0,0.04,5.78,99987.96,145.06
84,90.0,0.04,5.78,99988.11,145.05
85,91.0,0.04,5.78,99989.35,144.94
86,92.0,0.04,5.79,99990.25,144.87
87,93.0,0.03,5.78,99987.27,145.12
88,94.0,0.02,5.79,99987.21,145.12
89,95.0,0.04,5.79,99984.0,145.39
90,96.0,0.07,5.79,99989.99,144.89
91,97.0,0.06,5.79,99989.75,144.91
92,99.0,0.06,5.8,99986.38,145.19
93,100.0,0.06,5.8,99991.18,144.79
94,101.0,0.07,5.8,99990.12,144.88
95,102.0,0.08,5.8,99986.18,145.21
96,103.0,0.06,5.81,99988.07,145.05
97,104.0,0.09,5.81,99990.92,144.81
98,105.0,0.39,5.81,99991.09,144.8
99,106.0,0.09,5.81,99989.44,144.9
100,107.0,0.36,5.82,99990.03,144.88
101,108.0,2.49,5.82,99990.86,144.82
102,109.0,3.15,5.82,99989.88,144.9
103,110.0,2.88,5.82,99990.13,144.88
104,111.0,2.7,5.82,99989.61,144.92
105,112.0,2.67,5.82,99987.97,145.04
106,113.0,2.35,5.82,99990.11,144.88
107,115.0,1.9,5.82,99988.96,144.98
108,116.0,3.52,5.83,99992.5,144.68
109,117.0,1.65,5.83,99987.1,145.13
110,118.0,2.4,5.83,99989.39,144.94
111,119.0,2.21,5.83,99988.4,145.02
112,120.0,2.59,5.84,99987.24,145.12
113,121.0,4.4,5.84,99986.91,145.15
114,122.0,0.41,5.84,99987.0,145.14
115,123.0,0.22,5.84,99991.6,144.75
116,124.0,0.34,5.85,99993.64,144.58
117,125.0,0.02,5.84,99991.77,144.74
118,126.0,0.03,5.85,99990.19,144.87
119,127.0,0.03,5.85,99987.23,145.12
120,128.0,0.04,5.84,99992.27,144.7
121,129.0,0.04,5.85,99996.19,144.37
122,131.0,0.04,5.85,99993.82,144.57
123,132.0,0.04,5.85,99993.9,144.56
124,133.0,0.04,5.86,99997.17,144.28
125,134.0,0.04,5.86,99991.75,144.74
126,135.0,0.04,5.86,99992.08,144.71
127,136.0,0.04,5.86,99989.45,144.93
128,137.0,0.04,5.86,99990.1,144.88
129,138.0,0.04,5.86,99991.35,144.78
130,139.0,0.05,5.87,99994.64,144.5
131,140.0,0.1,5.87,99998.83,144.15
132,141.0,0.08,5.87,99996.21,144.37
133,142.0,0.08,5.87,99992.82,144.65
134,143.0,0.08,5.87,99995.86,144.54
135,144.0,0.08,5.87,99988.96,144.98
136,145.0,0.08,5.87,99993.97,144.55
137,147.0,0.08,5.88,99991.35,144.78
138,148.0,0.1,5.88,99993.32,144.61
139,149.0,0.09,5.88,99992.66,144.66
140,150.0,0.09,5.88,99991.53,144.76
141,151.0,0.08,5.88,99987.97,145.06
142,152.0,0.19,5.88,99992.41,144.69
143,153.0,0.1,5.89,99992.42,144.69
144,154.0,0.08,5.89,99993.15,144.62
145,155.0,0.06,5.88,99993.55,144.59
146,156.0,0.06,5.9,99989.86,144.9
147,157.0,0.06,5.89,99996.38,144.35
148,158.0,0.06,5.9,99995.86,144.39
149,159.0,0.07,5.9,99994.71,144.49
150,160.0,0.06,5.9,99995.53,144.42
151,161.0,0.06,5.9,99995.38,144.47
152,163.0,0.06,5.9,99992.99,144.64
153,164.0,0.06,5.91,99993.66,144.58
154,165.0,0.06,5.91,99994.0,144.55
155,166.0,0.06,5.91,99994.96,144.47
156,167.0,0.06,5.92,99996.38,144.35
157,168.0,0.06,5.91,99995.38,144.43
158,169.0,0.06,5.92,99996.38,144.35
159,170.0,0.06,5.92,99995.88,144.39
160,171.0,0.06,5.92,99992.09,144.71
161,172.0,0.06,5.92,99994.13,144.54
162,173.0,0.07,5.92,99990.78,144.82
163,174.0,0.07,5.92,99998.17,144.2
164,175.0,0.07,5.92,99996.27,144.36
165,176.0,0.07,5.93,99999.8,144.06
166,177.0,0.07,5.93,99996.75,144.32
167,178.0,0.07,5.94,99994.3,144.53
168,180.0,0.06,5.93,99995.69,144.41
169,181.0,0.06,5.94,99996.2,144.37
170,182.0,0.06,5.94,100000.28,144.02
171,183.0,0.07,5.94,99997.67,144.24
172,184.0,0.06,5.95,99999.06,144.13
173,185.0,0.06,5.95,99999.88,144.06
174,186.0,0.06,5.95,100002.11,143.92
175,187.0,0.06,5.95,99999.82,144.06
176,188.0,0.07,5.96,100000.21,144.03
177,189.0,0.06,5.96,99997.75,144.24
178,190.0,0.05,5.96,99997.33,144.27
179,191.0,0.05,5.96,99998.83,144.15
180,192.0,0.05,5.97,99997.6,144.25
181,193.0,0.06,5.97,99998.49,144.17
182,194.0,0.06,5.97,99998.89,144.14
183,196.0,0.07,5.97,99998.07,144.21
184,197.0,0.06,5.98,99996.78,144.32
185,198.0,0.07,5.98,99999.5,144.09
186,199.0,0.07,5.98,99997.58,144.25
187,200.0,0.07,5.98,99998.57,144.17
188,201.0,0.07,5.98,100001.28,143.94
189,202.0,0.14,5.99,100000.31,144.02
190,203.0,0.16,5.99,100001.27,143.94
191,204.0,0.2,6.0,99996.92,144.43
192,205.0,0.37,5.99,100002.26,143.86
193,206.0,0.42,6.0,100002.85,143.81
194,207.0,0.4,6.0,99997.1,144.29
195,208.0,0.31,6.0,99999.97,144.05
196,209.0,0.31,6.01,99999.88,144.06
197,210.0,0.31,6.01,99997.08,144.29
198,212.0,0.31,6.01,100000.71,143.99
199,213.0,0.24,6.01,100000.64,143.99
200,214.0,0.3,6.01,100003.17,143.78
201,215.0,0.26,6.01,99999.32,144.1
202,216.0,0.28,6.01,99996.36,144.35
203,217.0,0.34,6.02,100002.1,143.87
204,218.0,0.33,6.02,100004.23,143.69
205,219.0,0.26,6.02,100000.86,143.97
206,220.0,0.24,6.02,99999.97,144.05
207,221.0,0.08,6.03,100001.44,143.92
208,222.0,0.03,6.03,100003.25,143.77
209,223.0,-0.02,6.04,99999.0,144.13
210,224.0,-0.01,6.04,100005.71,143.57
211,225.0,0.02,6.04,100004.23,143.69
212,226.0,0.07,6.05,100002.6,143.83
213,228.0,0.48,6.05,99999.24,144.11
214,229.0,1.83,6.05,100003.92,143.72
215,230.0,0.9,6.06,100001.69,143.91
216,231.0,-0.01,6.06,100001.7,143.9
217,232.0,-0.0,6.06,100004.25,143.69
218,233.0,0.0,6.06,99999.49,144.09
219,234.0,0.0,6.07,100002.59,143.83
220,235.0,0.0,6.07,100003.1,143.79
221,236.0,0.0,6.08,99999.73,144.07
222,237.0,0.0,6.08,100000.04,144.04
223,238.0,0.01,6.08,100000.78,143.98
224,239.0,0.03,6.08,100001.52,143.92
225,240.0,0.04,6.09,99998.58,144.17
226,241.0,0.04,6.09,100000.69,143.99
227,242.0,0.05,6.1,100001.03,143.96
228,243.0,0.04,6.1,100002.67,143.82
229,245.0,0.02,6.09,100003.32,143.77
230,246.0,0.01,6.1,100001.69,143.91
231,247.0,0.01,6.1,100004.99,143.63
232,248.0,0.01,6.1,100003.24,143.77
233,249.0,0.02,6.11,99999.55,144.09
234,250.0,0.02,6.11,100001.52,143.92
235,251.0,0.02,6.11,100006.79,143.48
236,252.0,0.06,6.11,100003.75,143.73
237,253.0,0.08,6.11,99999.82,144.06
238,0.0,0.0,5.59,99951.97,148.09
239,2.0,0.0,5.62,99950.1,148.24
240,3.0,0.0,5.63,99948.54,148.37
241,4.0,0.01,5.64,99949.85,148.27
242,5.0,0.05,5.64,99948.3,148.4
243,6.0,0.03,5.65,99944.86,148.68
244,7.0,0.08,5.65,99933.44,149.65
245,8.0,0.07,5.66,99933.69,149.62
246,9.0,0.08,5.66,99939.11,149.17
247,10.0,0.08,5.66,99938.2,149.25
248,11.0,0.08,5.66,99935.34,149.49
249,12.0,0.08,5.66,99937.46,149.31
250,13.0,0.09,5.67,99933.03,149.68
251,14.0,0.07,5.67,99939.27,149.15
252,15.0,0.07,5.67,99937.97,149.26
253,16.0,0.07,5.67,99933.21,149.67
254,18.0,0.07,5.67,99933.28,149.66
255,19.0,0.07,5.67,99933.71,149.62
256,20.0,0.07,5.67,99935.07,149.51
257,21.0,0.06,5.68,99928.77,150.04
258,22.0,0.06,5.68,99935.0,149.52
259,23.0,0.07,5.68,99934.52,149.56
260,24.0,0.07,5.68,99932.55,149.72
261,25.0,0.07,5.68,99939.03,149.17
262,26.0,0.06,5.68,99936.32,149.4
263,27.0,0.06,5.68,99935.34,149.49
264,28.0,0.06,5.68,99939.28,149.15
265,29.0,0.06,5.69,99940.0,149.36
266,30.0,0.06,5.69,99934.25,149.58
267,31.0,0.06,5.69,99936.89,149.35
268,32.0,0.06,5.69,99933.03,149.68
269,34.0,0.06,5.69,99935.75,149.45
270,35.0,0.06,5.69,99934.11,149.59
271,36.0,0.06,5.7,99942.24,148.87
272,37.0,0.06,5.7,99939.12,149.17
273,38.0,0.06,5.7,99939.12,149.17
274,39.0,0.06,5.7,99939.35,149.15
275,40.0,0.07,5.7,99944.1,148.75
276,41.0,0.06,5.7,99944.6,148.71
277,42.0,0.06,5.7,99939.83,149.11
278,43.0,0.06,5.7,99943.61,148.79
279,44.0,0.07,5.7,99939.1,149.17
280,45.0,0.07,5.7,99938.11,149.25
281,46.0,0.07,5.7,99938.19,149.25
282,47.0,0.06,5.7,99941.49,148.97
